288.905635	13.145774	20.290141
295.049288	13.346850	18.428437
303.920727	13.233076	14.590605
315.940167	13.004235	5.693940
329.592039	12.715905	-5.819477
340.788869	13.266747	-17.724756
351.422706	14.023611	-29.623871
355.146162	17.966993	-34.853026
358.110305	21.911780	-39.145617
357.798150	25.876606	-39.422706
356.830079	29.072393	-38.474742
354.730654	30.951626	-35.423069
352.404567	32.106536	-31.796820
349.888508	32.659087	-27.688533
347.741392	32.839378	-24.243171
345.731360	32.877741	-21.047709
344.563975	32.371881	-18.558731
343.580095	31.706754	-16.180572
343.730656	29.871114	-14.221962
344.199342	27.684663	-12.389410
345.605219	24.476733	-10.926965
348.409358	20.427120	-9.895576
353.039831	15.277807	-9.428090
361.664030	8.444905	-9.945201
372.825148	0.539616	-11.087692
387.984014	-6.240575	-15.091478
404.215273	-12.725637	-19.862531
420.102711	-14.769970	-23.272400
435.639276	-16.080431	-26.142295
449.130720	-13.907961	-26.035510
462.058579	-10.820632	-24.537333
473.794475	-5.784798	-20.089688
483.563279	-0.932164	-14.763455
491.362064	3.737857	-8.545957
496.187411	6.949802	-3.397113
499.594412	9.465621	1.245144
500.722889	10.607040	4.307293
501.464236	11.456598	7.071397
502.247267	10.408695	8.774797
503.333226	9.136066	10.396401
505.568205	6.993616	11.693265
508.243250	4.492435	12.735007
511.622634	1.415063	13.368933
515.588659	-1.590834	13.558757
520.014536	-4.544057	13.404722
525.125614	-6.509661	11.366198
530.480390	-8.133790	8.668713
536.792257	-8.373238	3.975020
543.210256	-8.314804	-0.866325
549.771714	-6.596880	-5.403116
556.340401	-4.470166	-9.533787
562.920818	-1.256189	-12.580674
570.023621	1.794733	-14.855647
577.763698	4.645853	-16.191493
590.183000	6.694024	-16.656529
605.360218	8.267480	-16.607963
630.168455	7.877344	-13.763812
657.273135	7.013088	-10.250263
671.977963	3.512573	-3.362312
684.479526	-0.047868	2.700431
686.596215	-3.685345	4.162095
687.670471	-7.353764	5.080647
686.698948	-11.078949	4.935387
686.676936	-14.508738	4.480909
687.546434	-17.663747	3.736679
691.499061	-20.256076	2.539787
696.821074	-22.605376	1.142852
699.235813	-22.687973	-0.629831
701.114703	-22.325115	-2.424512
700.713530	-19.597737	-3.530037
700.509702	-15.934730	-4.440286
700.959672	-9.035850	-4.676637
700.893451	-1.821724	-4.154886
700.070057	5.867859	-2.513180
